species,FUSE_min,FUSE_max,FUSE_mean,FUSE_median,FUSE_sd,FUn_min,FUn_max,FUn_mean,FUn_median,FUn_sd,FSp_min,FSp_max,FSp_mean,FSp_median,FSp_sd,FUSE,FUSE_alt,FUGE,FDGE,FSGE,FUS,FUn_std,FSp_std,FDist_std,FUSE_rank
Balaenoptera borealis,0.7452209444364054,2.5918146186937348,1.4974065295890442,1.4299263993814295,0.3991620081381532,0,1,0.2215710091065427,0.14801993593809604,0.21701298150258463,0.28587298349358103,0.9816582287918392,0.6275657283066701,0.6132303185883846,0.12010222777123046,1.6552017492122972,1.372755985335715,0.42781049440738167,1.1271901481652318,1.2273912548049155,0.9820704744690676,0.17796512389050262,0.804105350578565,0.6956567910359773,15
Balaenoptera edeni,0,0,0,0,0,0,1,0.22333607594313556,0.16570290523866504,0.1976712545751729,0.4653367756815183,0.961920306738217,0.6948098295884128,0.6740665747676378,0.09842948250662308,0,0,0,0,0,0.9879982335100932,0.2411136540775652,0.7468845794325278,0.6258394483182578,142
Balaenoptera musculus,0.7833033987165099,2.772588722239781,1.5760649401035791,1.541293903326444,0.4006656774649336,0,1,0.24939591114558343,0.1972001900105853,0.2197088364680512,0.2939822979799998,1,0.6553847229562457,0.6362838619253092,0.1361305338515797,1.825747421766688,1.4444466650814811,0.5933362851291052,1.2201861874910436,1.232411136637583,1.079835209058337,0.2700056954038756,0.8098295136544613,0.7959394814401836,7
Balaenoptera physalus,0.8325966077833512,2.1972245773362196,1.3524238837873326,1.2889357593643511,0.2899990275709005,0,1,0.27360130845014485,0.22705713996263177,0.2198080382961496,0.38129771771609033,1,0.8054660300669324,0.8452616214109954,0.16904576986595665,1.650408899974845,1.299201749710266,0.6145301713704695,1.016881561425411,1.0358787286043756,1.333184409612291,0.4243938910233533,0.9087905185889372,0.8822800983093984,17
Bathytoshia centroura,0,0,0,0,0,0,0.8700753764761527,0.25788012376913877,0.24438349684330968,0.18537905362472457,0.18553229663367496,0.4752990319014549,0.3009304453160924,0.28460483119204527,0.06677621287713041,0,0,0,0,0,0.1969494594557413,0.01076765402862371,0.1861818054271176,0.03110997719032517,142
Bathytoshia lata,Inf,-Inf,NA,NA,NA,0.10703163261679882,0.27868121437500526,0.17677788834595765,0.11246374774618012,0.09305101392398572,0.4541428944343409,0.5000383760007266,0.46563933747290426,0.45804270208062176,0.01949263672658275,NA,NA,NA,NA,NA,0.5907790380095785,0.36140374213005927,0.2293752958795193,0.2417539755212332,NA
Berardius arnuxii,Inf,-Inf,NA,NA,NA,0,0.8334525378222426,0.2229825519263607,0.2101077534815334,0.14913511312307906,0.1706901782473233,0.6476917087187876,0.2754153884756261,0.26914285579966796,0.05939504483989734,NA,NA,NA,NA,NA,0.6089749588880138,0.1279590607054451,0.4810158981825687,0.4174818528480655,NA
Berardius bairdii,Inf,-Inf,NA,NA,NA,0,1,0.3382644757263451,0.24805205109367812,0.3038681194397412,0.37717996156683936,0.755036640057263,0.5619844969215573,0.5514726104475767,0.07717967297237206,NA,NA,NA,NA,NA,0.7548255314378518,0.1854079364775003,0.5694175949603515,0.4486195812793355,NA
Beringraja binoculata,0,0,0,0,0,0.07089655207941868,0.9555695170493276,0.4879508839588147,0.4653729961536909,0.2251774012191784,0.4357167747323257,0.7147044429518048,0.567737771329936,0.5584424251503443,0.07872071632974047,0,0,0,0,0,0.3206822929801928,0.08176840959520555,0.23891388338498723,0.2039234337155659,142
Bolbometopon muricatum,0.7417761247365953,1.905697271606708,1.0646755542033757,0.921842151702916,0.30712890148862376,0.0603645190046118,1,0.2500969579785833,0.09769124766758629,0.25173551004072886,0.34822989497704515,0.6337499167557122,0.5153980733125427,0.5274628718541827,0.064593499536947,1.2140007156187649,0.986043443125566,0.6835920218160066,0.6731054403316054,0.5304086938027582,0.8403037435479779,0.4904903467326867,0.34981339681529117,0.480157760444175,51
Callorhinus ursinus,0.19303748318260525,1.553891569691933,0.9149174368122752,0.8487019738350015,0.27715090184901003,0.03682929338164286,0.8248926249920109,0.3290326234668041,0.3315999927428858,0.2092755810712309,0,0.550888646224377,0.30535099029587653,0.40513925216355606,0.2022562187844644,1.271957887566047,1.0260210693280336,0.7163313196378484,0.6556944852281282,0.555626567928199,0.8949713658190701,0.5234549802533752,0.3715163855656949,0.4632399823908499,NA
Caperea marginata,0,0,0,0,0,0,0.7319325335754369,0.1922919521108644,0.16731846600134617,0.1434237299018282,0.28222258001402883,0.7692646219044894,0.4850355718024338,0.4868346339534339,0.09239080623220768,0,0,0,0,0,1.251381392072476,0.4351770932059202,0.8162042988665557,0.7437550906208554,142
Caranx ignobilis,0,0,0,0,0,0,1,0.157695290153083,0.11906297783708834,0.1497757361794594,0,0.2143921843222954,0.09671732883706824,0.09898341606506414,0.05810787128163674,0,0,0,0,0,0.4201646085181919,0.3064251509582553,0.1137394575599366,0.1195868433092597,142
Carcharhinus albimarginatus,0.06341137242198694,1.15738094852034,0.6167775339181336,0.5908097070606142,0.25838652322577604,0,0.7680529566419462,0.2991149450744604,0.28009249747658704,0.1998743944220704,0,0.2591098035984494,0.10161174219170711,0.07619454381043775,0.06727451035420304,0.3586490895333179,0.3544261281778046,0.34406793405334946,0.04358619035762268,0.01458115547996847,0.21268122209347085,0.20533723254348285,0.007343989549988,0.0222750102860503,121
Carcharhinus altimus,Inf,-Inf,NA,NA,NA,0,0.9028445818510225,0.236889921143256,0.18467055477502295,0.18558785171504588,0.1309845764197293,0.34488614707947496,0.21835377464661196,0.21071710909874763,0.05132111757436253,NA,NA,NA,NA,NA,0.32354758371129655,0.187503424669097,0.13604415904219955,0.14466072892789597,NA
Carcharhinus brachyurus,0.14677145212850776,0.9227695997236164,0.4105299721317006,0.38168648460025945,0.1635637783483022,0,0.7819960032067514,0.2326835812164607,0.20495969349362217,0.17606244738150517,0.06158456240454205,0.5156444929858246,0.2394845070218777,0.23749143801163036,0.1107146429760046,0.1249210216983542,0.1242929617833088,0.00559767052033137,0,0.11932335117802284,0.13234755697076142,0.00561336675173549,0.12673419021902593,0,NA
Carcharhinus brevipinna,0.25468067890121926,0.923663860287404,0.5075646055168651,0.4688111670332408,0.1538932084324306,0,0.9099932859389982,0.2657641513467344,0.19847948647469688,0.2003674637148343,0.22521014825207175,0.47488197497934953,0.3285269173022614,0.3337080010312651,0.04186048631673602,0.3972440644484532,0.3699926348734413,0.11624227969253344,0.14585683862642854,0.28100178475591975,0.4477239519539301,0.12326798419015328,0.32445596776377683,0.15703053411292872,NA
Carcharhinus falciformis,0.07941471415046701,1.225868250319001,0.623653694885291,0.6042023883264701,0.20648310092757027,0,1,0.20997448361105903,0.1543170491428821,0.16266057081414256,0,0.3997032328363857,0.17831245610607552,0.19702300392029,0.08815748115039089,0.3925718847659862,0.3613101557561581,0.1616625900689271,0.04067574781990995,0.2309092946970591,0.2176042650207431,0.08773178066183644,0.12987248435890664,0.0207571687464491,118
Carcharhinus galapagensis,0.11640913635443956,0.7517567743394242,0.3952444474863744,0.3737313439150972,0.1400264573187343,0,0.8184601376516513,0.2473078366581308,0.1952992818837317,0.1801849687469332,0.10255118319867736,0.33344775324174303,0.20319424124590532,0.2096373756221458,0.04947936125578162,0.2768162566757633,0.263168273218823,0.07825127538995702,0.11084144579801523,0.1985649812858063,0.30104563166891046,0.08139435232126636,0.21965127934764409,0.11721775324129605,134
Carcharhinus leucas,0.5221722731177979,1.1075269195615451,0.7903562184029571,0.762170080942264,0.14495984514113713,0,0.8347799579177971,0.26113767320689113,0.20409582959638825,0.1874181678512674,0.561238801648715,0.9249582544372992,0.767840709808931,0.7913091310983018,0.07123132786746747,0.6260783104238219,0.5542590329224205,0.24962938820742095,0.30532211175205537,0.37644892221640086,0.7406507419260397,0.2835496298978892,0.4571011120281506,0.3570620582493606,90
Carcharhinus limbatus,0.27944239060488923,1.1531999549993004,0.5791182781183796,0.5619175703837737,0.1360055055225119,0,1,0.2321327661897972,0.18013842927410914,0.18216233785948763,0.29191927669117096,0.6432786907726266,0.4646520799188392,0.4708378543518913,0.07437325174131089,0.5070944921706613,0.4557893665611745,0.2672380744899014,0.16335574952584395,0.23985641768075988,0.5774180527828818,0.306351418259478,0.2710666345234039,0.17745549442310066,108
Carcharhinus longimanus,0.397989965052423,1.754991691600113,0.908797900806794,0.8274603035242711,0.25417929756239915,0,1,0.30423837572164286,0.2187746001948825,0.21906594734877344,0.1844325552009654,0.5824842466303592,0.2974318117792944,0.2923819611197306,0.05240843298903686,0.9471136467491836,0.7980432237458334,0.3954537908494256,0.48022769453909314,0.551659855899758,0.6105951504207798,0.24252897187182845,0.36806617854895135,0.3082212077023751,NA
Carcharhinus obscurus,0.0794548469430877,1.3707837181909197,0.6076743283697299,0.6178899879126549,0.2399481800708482,0,0.9308299643644176,0.2557320991939462,0.18483998079536784,0.19044099555233737,0.02880176399662233,0.40289170772064214,0.12977471037637475,0.11120992516445131,0.07687106608859871,0.45341607847686793,0.41182310392164506,0.20411688625693852,0.06160331131242936,0.2492991922199294,0.2547836880798189,0.11322074961733568,0.1415629384624832,0.03177018330219333,115
Carcharhinus perezi,0.34540507046647356,0.8224102800460765,0.5666359203106538,0.5677439482214942,0.1340178844948293,0.04294750217598903,0.6341933370285199,0.2951133909093335,0.28506621697052364,0.17562402048272324,0.2675135373245936,0.5080078793077868,0.3735780847968654,0.37122139711589097,0.03861594841322494,0.2867071974040511,0.2687102447054492,0.14280773239367334,0.10903883772179628,0.14389946501037776,0.3082760062214214,0.1535079981221978,0.1547680080992236,0.11520566154761697,133
Carcharhinus plumbeus,0.10337610167490945,1.390990926055672,0.6171148011021877,0.5804099691019631,0.24985256760687616,0,1,0.26378798347562304,0.19661624205541572,0.1984521016700501,0.02760349843738358,0.37322979165735526,0.12822938017080773,0.11317668218750083,0.06204757996721535,0.4650620530731912,0.4215720346810778,0.2077193138196103,0.06514923649896082,0.25734273925358087,0.2621780067798395,0.1154338167614619,0.14674419001837757,0.0336591476725254,112
Carcharhinus signatus,0.28299906511830836,1.3923078482726243,0.6910260296140986,0.6354542246274684,0.252853088160633,6.648133400600553e-4,0.6165678811045476,0.22886315246466304,0.18210058494264003,0.15000381570528457,0.12927811022070948,0.566120495058254,0.2021803720974152,0.18204798940661404,0.08678945760160893,0.5734205090802248,0.512798741830859,0.2202708880801404,0.2229795401911382,0.35314962100008435,0.334979221619365,0.1232071618217702,0.2117720597975948,0.12489750145376093,101
Carcharhinus tilstoni,0,0,0,0,0,0.04906638607567277,0.6158801777668608,0.2657101120733385,0.21834642011176167,0.19168046106510991,0.3688182814125005,0.4804225788553426,0.4282777247521216,0.4353472092184487,0.02918271044084083,0,0,0,0,0,0.6558579868681146,0.36795357794745953,0.28790440892065505,0.3047800636702979,142
Carcharias taurus,0.17435901932806114,1.4219800480868876,0.71298833465522,0.7002020843646772,0.26083370103654124,0,0.7474417568866117,0.24871028061108705,0.19822596469594805,0.18707320940747985,0.07936192661685143,0.4675043287607055,0.2070036530940809,0.1816965605130859,0.08917432480370618,0.240258865028303,0.23932993357873827,0.00442944432513093,0.00130573865756663,0.2358294207031721,0.13519880713871624,0.00221963440698255,0.13297917273173368,6.532957527229485e-4,NA
Carcharodon carcharias,0.16008210089414132,1.895835570787912,0.8417054651277089,0.7796767018517539,0.30328859803351954,0,1,0.3665902552852862,0.25359326880976546,0.2702393555590275,0,0.6327887118513421,0.2045638894005433,0.18065456690113696,0.09298213040740486,1.3563048990280366,1.079078296122906,0.7057268563122974,0.6425863450302398,0.6505780427157392,0.9709833394654732,0.5126591327046999,0.4583242067607733,0.4506960908127729,42
Caretta caretta,0.3410959567276655,1.4953603471324508,0.9095490037193728,0.8859157078073505,0.13845824684657823,0,0.4854059673130941,0.07997792644789961,0.06431156349846273,0.06306159257980241,0.1736259849189569,0.8267343396682059,0.5812447149274429,0.5877763268257812,0.10485700581511496,0.6685185666266394,0.5850659648914234,0.3037681748518683,0.5410091582321885,0.36475039177477114,0.3975546979653959,0.17747745352760777,0.22007724443778812,0.35886972936065675,87
Centrolophus niger,0,0,0,0,0,0,1,0.29605473203160576,0.2669066756885765,0.22116465338671015,0.08339645584579397,0.4352255887483724,0.2271285909670805,0.22311465311940423,0.0889600873503185,0,0,0,0,0,0.5485892343437189,0.2829515079020251,0.26563772644169376,0.24163857906009784,142
Cephalorhynchus commersonii,0,0,0,0,0,0.01050433594206372,0.5635444939386711,0.29521784359216074,0.31527747578331466,0.19487783225695995,0.2695417636109525,0.3753145383627612,0.3096449985427642,0.3148704779501411,0.03149399204335323,0,0,0,0,0,0.423139836905401,0.2772004450101021,0.1459393918952989,0.17353009616905768,142
Cephalorhynchus eutropia,0.5238639974361257,0.8902110698054573,0.7001321112953972,0.675288540065146,0.13402012499988347,0.00936189914329488,0.45516157363126647,0.20195359014131584,0.16065818020739742,0.16238817218728974,0.6728782556420693,0.708951491825028,0.6892910897796054,0.6914389752498501,0.01166277783189737,0.6876149056956984,0.6034857832981972,0.269136019361714,0.33788738084972586,0.41847888633398433,0.828481394541966,0.30883315558989327,0.5196482389520728,0.40198260442465344,86
Cephalorhynchus heavisidii,0.4832309095280587,0.7742233650342056,0.6110730775270886,0.5708752977395635,0.1255431791757715,0.05900734401209356,0.3962883651444385,0.22478001455326307,0.21478163486614893,0.14003959834209373,0.45582402331392263,0.5542025789885217,0.5130616906070872,0.5285143096263427,0.04497715353284631,0.3876626718409219,0.36549213597022406,0.08865682252148092,0.2274804286470024,0.29900584931944096,0.4412231113815305,0.09270560002199356,0.3485175113595369,0.25543286899384393,119
Cephalorhynchus hectori,0.8913113618135825,1.5144155010926106,1.246427364244199,1.2958614767182373,0.2851411461117382,2.0956144112830517e-4,0.33826158746573537,0.185182478848745,0.2110837997329548,0.1607690576415691,0.4124474609628138,0.49305162551975534,0.444445892093396,0.4188996689215195,0.03834338637052413,0.973708743119928,0.8528662813341918,0.24965269557665049,0.5773672517306925,0.7240560475432775,0.44878751932664773,0.09452651547055796,0.3542610038560898,0.26044747519160816,NA
Cetorhinus maximus,0.6862683495362454,2.018286626857841,1.2422347056970564,1.1663283066410706,0.29590776599023244,0,1,0.3618344337987815,0.2465213150034913,0.26272227379966656,0.4160328509673956,0.8355444990482248,0.5500017638718864,0.5389372562976428,0.07217532483700022,1.2503445564355349,1.0312664184982607,0.43542268409591495,0.7877489891994921,0.8149218723396199,0.902307701716168,0.2728081141487779,0.6294995875673901,0.5992210676379283,48
Cheilinus undulatus,0.4604839512797662,1.0681411323936836,0.6224715439394659,0.570656660055824,0.1926623987240173,0.05229797847090842,0.3885706622883257,0.15035615760225787,0.12754285574609053,0.1049849001990596,0.08653627284853678,0.12330339502078388,0.1036625318147754,0.10551220885950167,0.01330988452301042,0.7862308176534196,0.6753722800484347,0.3604034765893073,0.34476027227467965,0.4258273410641123,0.3215880941260717,0.14463594870260923,0.1769521454234625,0.13721715570196474,77
Chelonia mydas,1.3995327247697984,2.772588722239781,1.7214300594978764,1.6748830911665498,0.1978063501477866,0.00444212624969468,1,0.15456514096757754,0.12770045669612512,0.11015637358246456,0.7140390944038607,1,0.9703885717517996,1,0.06020968702603619,2.22583103049127,1.6340464575507474,1.2247969950473183,1.2226588934739,1.0010340354439513,1.3748563907689046,0.8011583634520261,0.5736980273168787,0.798735296275054,1
Clarias macrocephalus,0.5783057353039404,0.766295986066742,0.6771865921038845,0.6889177859108102,0.07576722985859755,0.10428379261128408,0.301292501957037,0.20693095907297937,0.2298856667730017,0.07762320296688134,0.4998604552426145,0.7417257433937291,0.6175264388341118,0.6176614266592368,0.06474309249763843,0.5014049513568456,0.4658455759882624,0.11555292203095076,0.3904576731606059,0.3858520293258949,0.5933609271627283,0.1224939176342505,0.47086700952847776,0.47765692306202023,109
Conger conger,0,0,0,0,0,0,1,0.39697902766658344,0.3640284016231063,0.25690478424874014,0.27671842193728063,0.701628692925835,0.3541762206004833,0.3301163052248231,0.06919612717758654,0,0,0,0,0,0.6074080293285504,0.3378184733115013,0.2695895560170491,0.19359904277071505,142
Conger myriaster,Inf,-Inf,NA,NA,NA,0.04622669418413742,0.8404827124998948,0.38973773630779635,0.3454597950052739,0.21989998255335033,0.2921338003707701,0.4676259452798199,0.3556860335595219,0.3448028917242143,0.0474248596716736,NA,NA,NA,NA,NA,0.6071767463639537,0.33749659539675386,0.26968015096719977,0.1943757716717872,NA
Cystophora cristata,0.9512792315869656,1.845406376819677,1.3590379779766202,1.371721930384873,0.2089116479454148,0.01104425809410872,0.8225452449292504,0.3278557180282432,0.31592640755347307,0.16647297632454672,0.31257252208990466,0.9935568600929706,0.7085149226161767,0.7252764214807775,0.1477347313064475,1.28043225999021,1.0441573596258171,0.4825997533237405,0.8422226978753431,0.7978325066664695,0.9205017852198468,0.31014063151110155,0.6103611537087452,0.6607606434269493,44
Delphinapterus leucas,0,0,0,0,0,0,1,0.4270480800873333,0.4043520801353763,0.29639122299239773,0,1,0.12531105321909725,0.08908041863285251,0.16829580452993936,0,0,0,0,0,0.7103873003183634,0.5116350725488048,0.19875222776955864,0.33375912913747363,142
